id, time1, time2, runtime, x1, y1, theta1, scale1, x2, y2, theta2, scale2
BARR, 1, 2, 233.078125, -10.693200, -16.586400, -0.023941, 0.998380, -13.148350, -13.028944, -0.015283, 1.000178
BARR, 1, 3, 203.203125, 14.713900, -14.285900, -0.011619, 0.998260, 10.971358, -10.557103, -0.009700, 1.001640
BARR, 2, 3, 298.265625, 20.775000, 5.507400, 0.012791, 0.998130, 23.402445, 2.528508, 0.006490, 1.001801
BIGNALL, 1, 2, 402.312500, 14.207000, -14.210900, -0.051052, 0.993790, 15.993710, -14.348348, -0.052637, 0.991791
BIGNALL, 1, 3, 510.718750, 14.493600, -55.607900, -0.005454, 0.995960, 13.822126, -55.797859, -0.004197, 0.997268
BIGNALL, 2, 3, 367.937500, -6.345700, -43.275100, 0.052463, 1.007500, -0.280920, -40.208658, 0.051084, 1.000342
BORON, 1, 2, 391.734375, 5.384200, 61.581200, -0.002393, 1.003900, 6.465155, 63.477136, 0.000003, 1.003379
BORON, 1, 3, 416.906250, -63.478200, -1.727500, 0.050162, 1.003700, -67.228269, -3.909814, 0.045750, 1.012652
BORON, 2, 3, 487.250000, -133.294700, -135.430500, 0.042848, 1.002000, -284.588998, 21.794591, 0.060366, 1.077111
BUCHANAN, 1, 2, 466.593750, 7.323400, -25.661600, -0.054675, 0.999080, 5.498404, -25.296531, -0.054241, 1.005787
BUCHANAN, 1, 3, 385.609375, 46.261100, -43.729400, -0.076814, 0.993780, 47.087292, 13.200480, -0.054560, 0.962128
BUCHANAN, 2, 3, 667.968750, 37.500100, -21.444700, -0.024291, 0.998980, 36.962438, -22.140584, -0.023361, 0.996238
CERVENKA, 1, 2, 190.421875, 20.910100, 5.545200, -0.016342, 0.999350, 19.346916, 1.587575, -0.013149, 1.001675
CERVENKA, 1, 3, 202.296875, 17.466100, -6.103100, -0.033302, 0.998270, 15.637712, -12.702891, -0.040107, 1.004012
CERVENKA, 2, 3, 491.375000, -4.313200, -8.711600, -0.017126, 1.000000, -4.971407, -11.136008, -0.018151, 0.999396
COMBS, 1, 2, 295.843750, -62.054900, 38.550700, 0.093693, 1.027500, -7.325536, 12.875518, 0.059738, 0.996803
COMBS, 1, 3, 837.140625, -42.054400, 39.368100, 0.071043, 1.040000, -34.532813, 49.782382, 0.075995, 1.037155
COMBS, 2, 3, 348.750000, 42.331200, -6.617900, -0.016972, 0.996530, 41.331293, -12.365556, -0.019731, 1.000846
COMISKY, 1, 2, 348.671875, -5.105300, 6.064300, 0.002841, 1.001800, -2.932934, 4.073722, 0.001514, 1.000176
COMISKY, 1, 3, 356.718750, -13.369600, 19.502100, 0.031510, 0.999550, -12.510959, 18.998331, 0.028275, 0.997886
COMISKY, 2, 3, 307.906250, -5.545900, 14.703700, 0.025908, 0.994900, -9.635441, 15.341987, 0.027093, 0.997114
GETTEL, 1, 2, 231.140625, -18.368700, 12.937000, 0.026568, 0.992710, -18.518472, 10.981689, 0.026681, 0.994311
GETTEL, 1, 3, 234.187500, -6.088800, -10.522400, 0.027433, 0.985180, -1.765366, -13.494162, 0.022455, 0.989974
GETTEL, 2, 3, 386.781250, 16.860300, -25.573400, -0.005377, 0.995390, 13.226463, -22.735389, -0.001153, 0.997706
KUKLA, 1, 2, 945.218750, -118.169400, 126.929300, 0.041796, 0.986170, -50.430216, 56.804300, -0.043803, 1.005913
KUKLA, 1, 3, 990.359375, -49.602700, 93.589300, 0.026560, 0.996520, -53.958392, 91.625846, 0.023406, 1.001687
KUKLA, 2, 3, 256.656250, 77.062400, -32.996700, -0.022433, 0.990520, 67.057469, -33.875367, -0.017756, 0.996671
LEMAY, 1, 2, 215.812500, -7.896900, 9.896900, 0.007214, 1.001400, -2.578347, 8.016300, 0.006550, 0.998735
REAM, 1, 2, 443.234375, 7.768900, 10.865700, 0.003146, 0.998390, 6.326126, 12.482046, 0.004696, 0.997145
REAM, 1, 3, 348.187500, 7.595600, -10.066400, -0.020484, 0.995850, 8.290288, -9.449119, -0.019369, 0.997783
REAM, 2, 3, 362.750000, -2.646300, -23.067800, -0.022223, 1.003200, 2.059458, -22.204667, -0.024063, 1.000501
RHOADES, 1, 2, 488.400000, 19.039300, -5.731300, 0.021926, 1.000600, 18.793562, -6.325021, 0.023440, 1.000040
VINCENT, 1, 2, 929.050000, -45.848400, 7.228700, 0.020336, 1.001700, -47.189032, 6.677062, 0.017971, 1.001781
VINCENT, 1, 3, 894.160000, 16.646600, -26.742500, -0.023391, 1.003700, 8.167099, -25.969872, -0.020881, 1.009495
VINCENT, 2, 3, 975.520000, -110.889000, 58.290700, 0.037571, 0.994110, 115.285995, -54.897323, -0.035761, 1.004659
WHITE, 1, 2, 583.860000, 11.858100, 18.457200, 0.056980, 0.994420, 10.382491, 20.325040, 0.056737, 0.994468
WHITE, 1, 3, 1201.380000, -33.419100, -9.686700, 0.033297, 0.998470, -47.482111, -26.531101, 0.034181, 1.006840
WHITE, 2, 3, 654.950000, -21.042000, -30.578300, -0.033570, 1.004400, -24.648464, -28.078543, -0.028161, 1.004700
FA_CUSTOM, 1, 2, 167.080000, -47.632000, 16.126500, 0.012118, 0.993660, -46.741772, 14.538337, 0.013391, 0.994199
FA_CUSTOM, 1, 3, 160.320000, 37.784300, 6.476800, 0.003157, 0.998580, 38.099389, 5.080980, 0.003914, 0.999747
FA_CUSTOM, 2, 3, 186.580000, 85.655600, -9.267100, -0.010592, 1.002500, 84.102583, -8.197207, -0.007232, 0.998896
00270567_OD, 1, 2, 309.770000, 10.996600, 20.242100, -0.012357, 1.026400, -8.305906, -18.952671, 0.010960, 0.969763
00270567_OD, 1, 3, 313.150000, -6.419300, 29.734100, 0.002470, 1.056900, -39.885242, -291.306040, 0.019049, 1.251769
00270567_OD, 1, 4, 290.120000, -31.781700, 43.782300, 0.075591, 1.055900, 28.728736, -42.594655, -0.070168, 0.950723
00270567_OD, 1, 5, 291.930000, 51.286100, 78.741200, 0.021462, 1.050000, -48.482837, -71.648739, -0.016033, 0.948998
00270567_OD, 1, 6, 332.810000, 3.093300, 35.636900, 0.005084, 1.029100, -43.003682, -84.509885, 0.023096, 1.142668
00270567_OD, 2, 3, 760.150000, -34.982800, 24.785300, 0.013904, 1.021000, 37.477549, -18.794179, -0.018571, 0.981896
00270567_OD, 2, 4, 772.370000, -49.520200, 36.582300, 0.077438, 1.016700, -74.878478, -118.412846, -0.003533, 1.015425
00270567_OD, 2, 5, 771.760000, 71.325400, 127.802200, 0.038349, 1.022500, 114.026381, 60.028183, -0.040459, 0.941203
00270567_OD, 2, 6, 816.110000, -11.516500, 10.576100, 0.008135, 1.011700, 13.054903, 2.763924, -0.002982, 0.978928
00270567_OD, 3, 4, 959.910000, -44.052200, 18.908700, 0.069753, 1.010800, 52.893766, -18.343895, -0.073341, 0.994248
00270567_OD, 3, 5, 1002.920000, 117.902000, 86.495400, 0.014317, 1.008400, -104.797888, -74.602109, 0.069064, 1.004627
00270567_OD, 3, 6, 1067.580000, 11.745100, -31.456400, -0.004673, 0.995650, -11.682645, 20.690241, 0.006345, 1.006227
00270567_OD, 4, 5, 844.490000, 163.768600, 62.059300, -0.049027, 0.986880, 153.097424, -122.234207, -0.048456, 0.989215
00270567_OD, 4, 6, 893.180000, 50.966400, -35.901300, -0.071397, 0.991220, 52.268388, 61.008242, 0.069120, 0.961291
00270567_OD, 5, 6, 820.880000, -105.119500, -103.990300, -0.012911, 0.993980, -74.359208, -104.899858, 0.015298, 1.056541
00270567_OS, 1, 2, 204.920000, 10.936400, -27.905400, -0.028582, 1.008200, -20.117977, 19.343409, 0.026230, 1.007460
00270567_OS, 1, 3, 224.060000, 9.395000, -6.689800, -0.034115, 1.049000, -13.666832, -3.350960, 0.044704, 0.957053
00270567_OS, 1, 4, 217.750000, 12.517900, -7.603600, -0.013861, 1.044200, -11.541427, 8.004252, 0.015366, 0.956360
00270567_OS, 1, 5, 220.680000, -10.487400, 22.367800, 0.048851, 1.045700, 1.457810, -16.153667, -0.034947, 0.960161
00270567_OS, 1, 6, 218.150000, -2.771800, -2.593000, 0.002519, 1.055800, 1.756624, -1.567796, -0.009221, 0.961048
00270567_OS, 1, 7, 221.500000, 28.000000, -15.480600, -0.034516, 1.046800, -28.719183, 17.681172, 0.039642, 0.958298
00270567_OS, 2, 3, 761.420000, -3.042100, 22.352800, -0.000421, 1.042700, 9.695543, -22.911883, 0.003372, 0.955435
00270567_OS, 2, 4, 732.730000, -9.243900, 10.901200, 0.013749, 1.052800, 7.330406, -13.934513, -0.016069, 0.959682
00270567_OS, 2, 5, 740.270000, -24.989700, 40.774100, 0.068555, 1.045400, 22.779564, -34.954435, -0.056008, 0.958229
00270567_OS, 2, 6, 693.190000, -24.872300, 20.843900, 0.027499, 1.060600, 23.572022, -19.356633, -0.030658, 0.949397
00270567_OS, 2, 7, 735.230000, 8.923600, 4.796000, -0.003780, 1.045400, -8.748469, -4.046179, 0.011650, 0.957691
00270567_OS, 3, 4, 1998.590000, -6.202400, -20.640300, 0.015135, 1.006500, -1.624632, 21.848590, -0.016100, 0.997445
00270567_OS, 3, 5, 2003.040000, -32.716700, 24.241400, 0.067541, 0.998900, 35.163215, -12.948596, -0.048482, 0.996187
00270567_OS, 3, 6, 1935.240000, -29.471000, -8.837500, 0.033159, 1.017000, 23.745977, 4.955821, -0.034784, 0.993284
00270567_OS, 3, 7, 2004.030000, 39.101500, -31.166900, -0.001754, 1.001600, -36.674327, 28.344569, 0.005737, 1.000714
00270567_OS, 4, 5, 1482.660000, -33.431700, 52.308500, 0.054755, 1.002300, 36.525300, -49.284260, -0.057897, 1.002805
